term1,term2,count
意外事故(accident),物资分配(material distribution),0
连续暴雨(continued heavy rain),救援(rescue),6
持续大雨(continued rain),警告(caveat),2
强降雨(heavy rain),洪水(flood),214
死亡人数(number of death),台风(typhoon),84
洪涝(flood),危险(danger),38
受灾情况(disaster situation),警告(caveat),0
受灾人数(number of victims),救灾(disaster relief),2
洪涝(flood),特大暴雨(heavy rain),47
受灾物资(supplies),连日大雨(rainy day),0
水灾(flood),特大暴雨(heavy rain),15
死亡(death),汛情(flood situation),12
山洪(flash flood),被淹末(submerged),11
被淹末(submerged),连日大雨(rainy day),3
相当(quite),受灾物资(supplies),0
伤亡人数(number of casualties),救援(rescue),2
洪灾(flood),水位暴涨(Water level skyrocketed),3
强降雨(heavy rain),相当(quite),19
暴雨成灾(rainstorm),降雨连续(continuous rainfall),0
受灾物资(supplies),破坏(damage),0
受灾人数(number of victims),伤亡人数(number of casualties),0
泥石流(debris flow),灾情(disaster situation),102
汛情(flood situation),受灾物资(supplies),0
洪涝(flood),救灾(disaster relief),192
警告(caveat),救援(rescue),17
灾难(disaster),受灾物资(supplies),0
受灾(affected),特大暴雨(heavy rain),92
预警(warning),水灾(flood),23
破坏(damage),山洪(flash flood),27
受灾(affected),死亡人数(number of death),80
物资分配(material distribution),连续暴雨(continued heavy rain),0
水位暴涨(Water level skyrocketed),死亡(death),5
连日大雨(rainy day),汛期(flood season),2
洪灾(flood),连日大雨(rainy day),2
物资分配(material distribution),灾情(disaster situation),0
受灾物资(supplies),强降雨(heavy rain),0
物资分配(material distribution),伤亡(casualties),0
内涝(waterlogging),救灾(disaster relief),15
灾害(disaster),灾难(disaster),102
伤亡(casualties),伤亡(casualties),0
相当(quite),洪涝(flood),33
相当(quite),强降雨(heavy rain),19
持续大雨(continued rain),水灾(flood),2
降雨持续(continued rain),伤亡(casualties),0
连续暴雨(continued heavy rain),内涝(waterlogging),4
受灾人数(number of victims),意外事故(accident),0
灾情(disaster situation),受灾(affected),349
暴雨成灾(rainstorm),暴雨(rainstorm),24
洪水(flood),警告(caveat),60
水位暴涨(Water level skyrocketed),受灾报告(disaster report),0
台风(typhoon),灾害(disaster),494
危险(danger),灾情(disaster situation),45
山洪(flash flood),破坏(damage),27
特大暴雨(heavy rain),持续大雨(continued rain),0
受灾报告(disaster report),预警(warning),0
连续暴雨(continued heavy rain),水灾(flood),3
相当(quite),意外事故(accident),0
危险(danger),洪水(flood),170
持续大雨(continued rain),受影响区域(affected area),0
受灾人数(number of victims),洪涝(flood),4
严重(serious),洪水(flood),539
伤亡人数(number of casualties),严重(serious),6
警告(caveat),内涝(waterlogging),0
相当(quite),洪水(flood),66
灾难(disaster),严重(serious),92
水灾(flood),伤亡(casualties),35
灾情(disaster situation),受影响区域(affected area),0
山洪(flash flood),降雨连续(continuous rainfall),0
伤亡人数(number of casualties),意外事故(accident),0
死亡人数(number of death),泥石流(debris flow),30
物资分配(material distribution),洪灾(flood),0
降雨持续(continued rain),受灾情况(disaster situation),0
连续暴雨(continued heavy rain),伤亡人数(number of casualties),0
伤亡人数(number of casualties),受灾人数(number of victims),0
灾难(disaster),内涝(waterlogging),3
连续暴雨(continued heavy rain),相当(quite),0
相当(quite),物资分配(material distribution),0
汛期(flood season),汛期(flood season),0
受灾报告(disaster report),灾难(disaster),0
受灾物资(supplies),受影响区域(affected area),0
死亡(death),暴雨(rainstorm),263
灾难(disaster),降雨持续(continued rain),1
降雨持续(continued rain),受灾(affected),4
暴雨成灾(rainstorm),连续暴雨(continued heavy rain),2
内涝(waterlogging),危险(danger),21
危险(danger),洪涝(flood),38
连续暴雨(continued heavy rain),强降雨(heavy rain),3
降雨连续(continuous rainfall),暴雨成灾(rainstorm),0
死亡人数(number of death),伤亡(casualties),31
洪灾(flood),严重(serious),320
危险(danger),相当(quite),27
特大暴雨(heavy rain),被淹末(submerged),3
死亡人数(number of death),物资分配(material distribution),0
破坏(damage),救灾(disaster relief),22
救灾(disaster relief),受灾物资(supplies),0
连日大雨(rainy day),台风(typhoon),0
降雨连续(continuous rainfall),汛期(flood season),0
水位暴涨(Water level skyrocketed),洪灾(flood),3
受灾(affected),灾害(disaster),580
汛情(flood situation),相当(quite),6
破坏(damage),受灾人数(number of victims),1
持续大雨(continued rain),严重(serious),6
连续暴雨(continued heavy rain),灾情(disaster situation),5
伤亡(casualties),警告(caveat),8
被淹末(submerged),暴雨(rainstorm),32
警告(caveat),灾害(disaster),22
严重(serious),山洪(flash flood),151
内涝(waterlogging),被淹末(submerged),4
降雨连续(continuous rainfall),台风(typhoon),0
山洪(flash flood),汛情(flood situation),50
暴雨成灾(rainstorm),危险(danger),1
汛期(flood season),台风(typhoon),135
强降雨(heavy rain),洪涝(flood),127
泥石流(debris flow),内涝(waterlogging),21
预警(warning),受灾人数(number of victims),3
预警(warning),严重(serious),209
灾难(disaster),泥石流(debris flow),58
被淹末(submerged),破坏(damage),14
灾难(disaster),连续暴雨(continued heavy rain),0
死亡人数(number of death),死亡(death),136
预警(warning),内涝(waterlogging),71
台风(typhoon),破坏(damage),78
救援(rescue),灾害(disaster),222
水灾(flood),受灾情况(disaster situation),15
物资分配(material distribution),死亡人数(number of death),0
暴雨成灾(rainstorm),救援(rescue),11
救援(rescue),降雨连续(continuous rainfall),0
灾害(disaster),暴雨成灾(rainstorm),10
预警(warning),洪水(flood),147
