term1,term2,count
alarm,alarm,0
alarm,action plan,0
alarm,active resources,0
alarm,effect,0
alarm,affected area,0
alarm,agency,0
alarm,agency dispatch,0
alarm,agency executive,0
alarm,agency administrator,0
alarm,after action report,0
alarm,after action review,0
alarm,alert level,0
alarm,allocated resources,0
alarm,assigned resources,0
alarm,available resources,0
alarm,contingency plan,0
alarm,death,0
alarm,devastation,0
alarm,devastating,0
alarm,died,0
alarm,disaster,0
alarm,disasters,0
alarm,extreme,0
alarm,hazard,0
alarm,killed,0
alarm,base flood,0
alarm,base flood elevation,0
alarm,flash flood,0
alarm,flooded homes,0
alarm,flooded cars,0
alarm,flood classification,0
alarm,flood crest,0
alarm,flood depth,0
alarm,flood elevation,0
alarm,flood elevation study,0
alarm,flood hazard level,0
alarm,flood insurance rate map,0
alarm,flood insurance study,0
alarm,flood mitigation assistance,0
alarm,flood of record,0
alarm,floodplain,0
alarm,floodplain fill,0
alarm,flood-proofing,0
alarm,flood stage,0
alarm,floodway,0
alarm,atmospheric moisture,0
alarm,climate change,0
alarm,crest,0
alarm,downpours,0
alarm,extreme rainfall,0
alarm,global warming,0
alarm,intense rainfall,0
alarm,precipitation,0
alarm,moisture,0
alarm,natural disaster,0
alarm,noaa,0
alarm,rain,0
alarm,rainfall,0
alarm,river,0
alarm,sea levels,0
alarm,special flood hazard area,0
alarm,storm,0
alarm,storm intensity,0
alarm,swamped,0
alarm,thunder storm,0
alarm,torrential rain,0
alarm,weather,0
alarm,wet,0
alarm,wetter,0
action plan,alarm,0
action plan,action plan,0
action plan,active resources,0
action plan,effect,0
action plan,affected area,0
action plan,agency,0
action plan,agency dispatch,0
action plan,agency executive,0
action plan,agency administrator,0
action plan,after action report,0
action plan,after action review,0
action plan,alert level,0
action plan,allocated resources,0
action plan,assigned resources,0
action plan,available resources,0
action plan,contingency plan,0
action plan,death,0
action plan,devastation,0
action plan,devastating,0
action plan,died,0
action plan,disaster,0
action plan,disasters,0
action plan,extreme,0
action plan,hazard,0
action plan,killed,0
action plan,base flood,0
action plan,base flood elevation,0
action plan,flash flood,0
action plan,flooded homes,0
action plan,flooded cars,0
action plan,flood classification,0
action plan,flood crest,0
action plan,flood depth,0
action plan,flood elevation,0
action plan,flood elevation study,0
action plan,flood hazard level,0
action plan,flood insurance rate map,0
action plan,flood insurance study,0
action plan,flood mitigation assistance,0
action plan,flood of record,0
action plan,floodplain,0
action plan,floodplain fill,0
action plan,flood-proofing,0
action plan,flood stage,0
action plan,floodway,0
action plan,atmospheric moisture,0
action plan,climate change,0
action plan,crest,0
action plan,downpours,0
action plan,extreme rainfall,0
action plan,global warming,0
action plan,intense rainfall,0
action plan,precipitation,0
action plan,moisture,0
action plan,natural disaster,0
action plan,noaa,0
action plan,rain,0
action plan,rainfall,0
action plan,river,0
action plan,sea levels,0
action plan,special flood hazard area,0
action plan,storm,0
action plan,storm intensity,0
action plan,swamped,0
action plan,thunder storm,0
action plan,torrential rain,0
action plan,weather,0
action plan,wet,0
action plan,wetter,0
active resources,alarm,0
active resources,action plan,0
active resources,active resources,0
active resources,effect,0
active resources,affected area,0
active resources,agency,0
active resources,agency dispatch,0
active resources,agency executive,0
active resources,agency administrator,0
active resources,after action report,0
active resources,after action review,0
active resources,alert level,0
active resources,allocated resources,0
active resources,assigned resources,0
active resources,available resources,0
active resources,contingency plan,0
active resources,death,0
active resources,devastation,0
active resources,devastating,0
active resources,died,0
active resources,disaster,0
active resources,disasters,0
active resources,extreme,0
active resources,hazard,0
active resources,killed,0
active resources,base flood,0
active resources,base flood elevation,0
active resources,flash flood,0
active resources,flooded homes,0
active resources,flooded cars,0
active resources,flood classification,0
active resources,flood crest,0
active resources,flood depth,0
active resources,flood elevation,0
active resources,flood elevation study,0
active resources,flood hazard level,0
active resources,flood insurance rate map,0
active resources,flood insurance study,0
active resources,flood mitigation assistance,0
active resources,flood of record,0
active resources,floodplain,0
active resources,floodplain fill,0
active resources,flood-proofing,0
active resources,flood stage,0
active resources,floodway,0
active resources,atmospheric moisture,0
active resources,climate change,0
active resources,crest,0
active resources,downpours,0
active resources,extreme rainfall,0
active resources,global warming,0
active resources,intense rainfall,0
active resources,precipitation,0
active resources,moisture,0
active resources,natural disaster,0
active resources,noaa,0
active resources,rain,0
active resources,rainfall,0
active resources,river,0
active resources,sea levels,0
active resources,special flood hazard area,0
active resources,storm,0
active resources,storm intensity,0
active resources,swamped,0
active resources,thunder storm,0
active resources,torrential rain,0
active resources,weather,0
active resources,wet,0
active resources,wetter,0
effect,alarm,0
effect,action plan,0
effect,active resources,0
effect,effect,0
effect,affected area,0
effect,agency,0
effect,agency dispatch,0
effect,agency executive,0
effect,agency administrator,0
effect,after action report,0
effect,after action review,0
effect,alert level,0
effect,allocated resources,0
effect,assigned resources,0
effect,available resources,0
effect,contingency plan,0
effect,death,0
effect,devastation,0
effect,devastating,1
effect,died,0
effect,disaster,0
effect,disasters,1
effect,extreme,1
effect,hazard,0
effect,killed,1
effect,base flood,0
effect,base flood elevation,0
effect,flash flood,0
effect,flooded homes,0
effect,flooded cars,0
effect,flood classification,0
effect,flood crest,0
effect,flood depth,0
effect,flood elevation,0
effect,flood elevation study,0
effect,flood hazard level,0
effect,flood insurance rate map,0
effect,flood insurance study,0
effect,flood mitigation assistance,0
effect,flood of record,0
effect,floodplain,0
effect,floodplain fill,0
effect,flood-proofing,0
effect,flood stage,0
effect,floodway,0
effect,atmospheric moisture,0
effect,climate change,0
effect,crest,0
effect,downpours,0
effect,extreme rainfall,0
effect,global warming,0
effect,intense rainfall,0
effect,precipitation,0
effect,moisture,0
effect,natural disaster,0
effect,noaa,0
effect,rain,1
effect,rainfall,1
effect,river,1
effect,sea levels,0
effect,special flood hazard area,0
effect,storm,0
effect,storm intensity,0
effect,swamped,0
effect,thunder storm,0
effect,torrential rain,0
effect,weather,1
effect,wet,0
effect,wetter,0
affected area,alarm,0
affected area,action plan,0
affected area,active resources,0
affected area,effect,0
affected area,affected area,0
affected area,agency,0
affected area,agency dispatch,0
affected area,agency executive,0
affected area,agency administrator,0
affected area,after action report,0
affected area,after action review,0
affected area,alert level,0
affected area,allocated resources,0
affected area,assigned resources,0
affected area,available resources,0
affected area,contingency plan,0
affected area,death,0
affected area,devastation,0
affected area,devastating,0
affected area,died,0
affected area,disaster,0
affected area,disasters,0
affected area,extreme,0
affected area,hazard,0
affected area,killed,0
affected area,base flood,0
affected area,base flood elevation,0
affected area,flash flood,0
affected area,flooded homes,0
affected area,flooded cars,0
affected area,flood classification,0
affected area,flood crest,0
affected area,flood depth,0
affected area,flood elevation,0
affected area,flood elevation study,0
affected area,flood hazard level,0
affected area,flood insurance rate map,0
affected area,flood insurance study,0
affected area,flood mitigation assistance,0
affected area,flood of record,0
affected area,floodplain,0
affected area,floodplain fill,0
affected area,flood-proofing,0
affected area,flood stage,0
affected area,floodway,0
affected area,atmospheric moisture,0
affected area,climate change,0
affected area,crest,0
affected area,downpours,0
affected area,extreme rainfall,0
affected area,global warming,0
affected area,intense rainfall,0
affected area,precipitation,0
affected area,moisture,0
affected area,natural disaster,0
affected area,noaa,0
affected area,rain,0
affected area,rainfall,0
affected area,river,0
affected area,sea levels,0
affected area,special flood hazard area,0
affected area,storm,0
affected area,storm intensity,0
affected area,swamped,0
affected area,thunder storm,0
affected area,torrential rain,0
affected area,weather,0
affected area,wet,0
affected area,wetter,0
agency,alarm,0
agency,action plan,0
agency,active resources,0
agency,effect,0
agency,affected area,0
agency,agency,0
agency,agency dispatch,0
agency,agency executive,0
agency,agency administrator,0
agency,after action report,0
agency,after action review,0
agency,alert level,0
agency,allocated resources,0
agency,assigned resources,0
agency,available resources,0
agency,contingency plan,0
agency,death,0
agency,devastation,0
agency,devastating,0
agency,died,0
agency,disaster,0
agency,disasters,0
agency,extreme,0
agency,hazard,0
agency,killed,0
agency,base flood,0
agency,base flood elevation,0
agency,flash flood,0
agency,flooded homes,0
agency,flooded cars,0
agency,flood classification,0
agency,flood crest,0
agency,flood depth,0
agency,flood elevation,0
agency,flood elevation study,0
agency,flood hazard level,0
agency,flood insurance rate map,0
agency,flood insurance study,0
agency,flood mitigation assistance,0
agency,flood of record,0
agency,floodplain,0
agency,floodplain fill,0
agency,flood-proofing,0
agency,flood stage,0
agency,floodway,0
agency,atmospheric moisture,0
agency,climate change,0
agency,crest,0
agency,downpours,2
agency,extreme rainfall,0
agency,global warming,0
agency,intense rainfall,0
agency,precipitation,0
agency,moisture,0
agency,natural disaster,0
agency,noaa,0
agency,rain,2
agency,rainfall,1
agency,river,2
agency,sea levels,0
agency,special flood hazard area,0
agency,storm,3
agency,storm intensity,0
agency,swamped,0
agency,thunder storm,0
agency,torrential rain,0
agency,weather,2
agency,wet,2
agency,wetter,0
agency dispatch,alarm,0
agency dispatch,action plan,0
agency dispatch,active resources,0
agency dispatch,effect,0
agency dispatch,affected area,0
agency dispatch,agency,0
agency dispatch,agency dispatch,0
agency dispatch,agency executive,0
agency dispatch,agency administrator,0
agency dispatch,after action report,0
agency dispatch,after action review,0
agency dispatch,alert level,0
agency dispatch,allocated resources,0
agency dispatch,assigned resources,0
agency dispatch,available resources,0
agency dispatch,contingency plan,0
agency dispatch,death,0
agency dispatch,devastation,0
agency dispatch,devastating,0
agency dispatch,died,0
agency dispatch,disaster,0
agency dispatch,disasters,0
agency dispatch,extreme,0
agency dispatch,hazard,0
agency dispatch,killed,0
agency dispatch,base flood,0
agency dispatch,base flood elevation,0
agency dispatch,flash flood,0
agency dispatch,flooded homes,0
agency dispatch,flooded cars,0
agency dispatch,flood classification,0
agency dispatch,flood crest,0
agency dispatch,flood depth,0
agency dispatch,flood elevation,0
agency dispatch,flood elevation study,0
agency dispatch,flood hazard level,0
agency dispatch,flood insurance rate map,0
agency dispatch,flood insurance study,0
agency dispatch,flood mitigation assistance,0
agency dispatch,flood of record,0
agency dispatch,floodplain,0
agency dispatch,floodplain fill,0
agency dispatch,flood-proofing,0
agency dispatch,flood stage,0
agency dispatch,floodway,0
agency dispatch,atmospheric moisture,0
agency dispatch,climate change,0
agency dispatch,crest,0
agency dispatch,downpours,0
agency dispatch,extreme rainfall,0
agency dispatch,global warming,0
agency dispatch,intense rainfall,0
agency dispatch,precipitation,0
agency dispatch,moisture,0
agency dispatch,natural disaster,0
agency dispatch,noaa,0
agency dispatch,rain,0
agency dispatch,rainfall,0
agency dispatch,river,0
agency dispatch,sea levels,0
agency dispatch,special flood hazard area,0
agency dispatch,storm,0
agency dispatch,storm intensity,0
agency dispatch,swamped,0
agency dispatch,thunder storm,0
agency dispatch,torrential rain,0
agency dispatch,weather,0
agency dispatch,wet,0
agency dispatch,wetter,0
agency executive,alarm,0
agency executive,action plan,0
agency executive,active resources,0
agency executive,effect,0
agency executive,affected area,0
agency executive,agency,0
agency executive,agency dispatch,0
agency executive,agency executive,0
agency executive,agency administrator,0
agency executive,after action report,0
agency executive,after action review,0
agency executive,alert level,0
agency executive,allocated resources,0
agency executive,assigned resources,0
agency executive,available resources,0
agency executive,contingency plan,0
agency executive,death,0
agency executive,devastation,0
agency executive,devastating,0
agency executive,died,0
agency executive,disaster,0
agency executive,disasters,0
agency executive,extreme,0
agency executive,hazard,0
agency executive,killed,0
agency executive,base flood,0
agency executive,base flood elevation,0
agency executive,flash flood,0
agency executive,flooded homes,0
agency executive,flooded cars,0
